fixture_id,date,timezone,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,winner_home,winner_away,halftime_home,halftime_away,fulltime_home,fulltime_away
1489369,2026-06-11T19:00:00+00:00,UTC,Estadio Azteca,Mexico City,Match Finished,FT,1,World Cup,2026,Group Stage - 1,16,Mexico,1531,South Africa,2.0,0.0,True,False,1.0,0.0,2.0,0.0
1538999,2026-06-12T02:00:00+00:00,UTC,Estadio Akron,Guadalajara,Match Finished,FT,1,World Cup,2026,Group Stage - 1,17,South Korea,770,Czech Republic,2.0,1.0,True,False,0.0,0.0,2.0,1.0
1539000,2026-06-12T19:00:00+00:00,UTC,BMO Field,Toronto,Not Started,NS,1,World Cup,2026,Group Stage - 1,5529,Canada,1113,Bosnia & Herzegovina,,,,,,,,
1489370,2026-06-13T01:00:00+00:00,UTC,SoFi Stadium,Los Angeles,Not Started,NS,1,World Cup,2026,Group Stage - 1,2384,USA,2380,Paraguay,,,,,,,,
1489373,2026-06-13T19:00:00+00:00,UTC,Levi's Stadium,San Francisco Bay Area,Not Started,NS,1,World Cup,2026,Group Stage - 1,1569,Qatar,15,Switzerland,,,,,,,,
1489371,2026-06-13T22:00:00+00:00,UTC,MetLife Stadium,New York New Jersey,Not Started,NS,1,World Cup,2026,Group Stage - 1,6,Brazil,31,Morocco,,,,,,,,
1489372,2026-06-14T01:00:00+00:00,UTC,Gillette Stadium,Boston,Not Started,NS,1,World Cup,2026,Group Stage - 1,2386,Haiti,1108,Scotland,,,,,,,,
1539001,2026-06-14T04:00:00+00:00,UTC,BC Place,Vancouver,Not Started,NS,1,World Cup,2026,Group Stage - 1,20,Australia,777,Türkiye,,,,,,,,
1489374,2026-06-14T17:00:00+00:00,UTC,NRG Stadium,Houston,Not Started,NS,1,World Cup,2026,Group Stage - 1,25,Germany,5530,Curaçao,,,,,,,,
1489376,2026-06-14T20:00:00+00:00,UTC,AT&T Stadium,Dallas,Not Started,NS,1,World Cup,2026,Group Stage - 1,1118,Netherlands,12,Japan,,,,,,,,
1489375,2026-06-14T23:00:00+00:00,UTC,Lincoln Financial Field,Philadelphia,Not Started,NS,1,World Cup,2026,Group Stage - 1,1501,Ivory Coast,2382,Ecuador,,,,,,,,
1539002,2026-06-15T02:00:00+00:00,UTC,Estadio BBVA,Monterrey,Not Started,NS,1,World Cup,2026,Group Stage - 1,5,Sweden,28,Tunisia,,,,,,,,
1489380,2026-06-15T16:00:00+00:00,UTC,Mercedes-Benz Stadium,Atlanta,Not Started,NS,1,World Cup,2026,Group Stage - 1,9,Spain,1533,Cape Verde Islands,,,,,,,,
1489377,2026-06-15T19:00:00+00:00,UTC,Lumen Field,Seattle,Not Started,NS,1,World Cup,2026,Group Stage - 1,1,Belgium,32,Egypt,,,,,,,,
1489379,2026-06-15T22:00:00+00:00,UTC,Hard Rock Stadium,Miami,Not Started,NS,1,World Cup,2026,Group Stage - 1,23,Saudi Arabia,7,Uruguay,,,,,,,,
1489378,2026-06-16T01:00:00+00:00,UTC,SoFi Stadium,Los Angeles,Not Started,NS,1,World Cup,2026,Group Stage - 1,22,Iran,4673,New Zealand,,,,,,,,
1489383,2026-06-16T19:00:00+00:00,UTC,MetLife Stadium,New York New Jersey,Not Started,NS,1,World Cup,2026,Group Stage - 1,2,France,13,Senegal,,,,,,,,
1539016,2026-06-16T22:00:00+00:00,UTC,Gillette Stadium,Boston,Not Started,NS,1,World Cup,2026,Group Stage - 1,1567,Iraq,1090,Norway,,,,,,,,
1489381,2026-06-17T01:00:00+00:00,UTC,Arrowhead Stadium,Kansas City,Not Started,NS,1,World Cup,2026,Group Stage - 1,26,Argentina,1532,Algeria,,,,,,,,
1489382,2026-06-17T04:00:00+00:00,UTC,Levi's Stadium,San Francisco Bay Area,Not Started,NS,1,World Cup,2026,Group Stage - 1,775,Austria,1548,Jordan,,,,,,,,
1539003,2026-06-17T17:00:00+00:00,UTC,NRG Stadium,Houston,Not Started,NS,1,World Cup,2026,Group Stage - 1,27,Portugal,1508,Congo DR,,,,,,,,
1489384,2026-06-17T20:00:00+00:00,UTC,AT&T Stadium,Dallas,Not Started,NS,1,World Cup,2026,Group Stage - 1,10,England,3,Croatia,,,,,,,,
1489385,2026-06-17T23:00:00+00:00,UTC,BMO Field,Toronto,Not Started,NS,1,World Cup,2026,Group Stage - 1,1504,Ghana,11,Panama,,,,,,,,
1489386,2026-06-18T02:00:00+00:00,UTC,Estadio Azteca,Mexico City,Not Started,NS,1,World Cup,2026,Group Stage - 1,1568,Uzbekistan,8,Colombia,,,,,,,,
1539004,2026-06-18T16:00:00+00:00,UTC,Mercedes-Benz Stadium,Atlanta,Not Started,NS,1,World Cup,2026,Group Stage - 2,770,Czech Republic,1531,South Africa,,,,,,,,
1539005,2026-06-18T19:00:00+00:00,UTC,SoFi Stadium,Los Angeles,Not Started,NS,1,World Cup,2026,Group Stage - 2,15,Switzerland,1113,Bosnia & Herzegovina,,,,,,,,
1489387,2026-06-18T22:00:00+00:00,UTC,BC Place,Vancouver,Not Started,NS,1,World Cup,2026,Group Stage - 2,5529,Canada,1569,Qatar,,,,,,,,
1489388,2026-06-19T01:00:00+00:00,UTC,Estadio Akron,Guadalajara,Not Started,NS,1,World Cup,2026,Group Stage - 2,16,Mexico,17,South Korea,,,,,,,,
1489391,2026-06-19T19:00:00+00:00,UTC,Lumen Field,Seattle,Not Started,NS,1,World Cup,2026,Group Stage - 2,2384,USA,20,Australia,,,,,,,,
1489390,2026-06-19T22:00:00+00:00,UTC,Gillette Stadium,Boston,Not Started,NS,1,World Cup,2026,Group Stage - 2,1108,Scotland,31,Morocco,,,,,,,,
1489389,2026-06-20T00:30:00+00:00,UTC,Lincoln Financial Field,Philadelphia,Not Started,NS,1,World Cup,2026,Group Stage - 2,6,Brazil,2386,Haiti,,,,,,,,
1539006,2026-06-20T03:00:00+00:00,UTC,Levi's Stadium,San Francisco Bay Area,Not Started,NS,1,World Cup,2026,Group Stage - 2,777,Türkiye,2380,Paraguay,,,,,,,,
1539007,2026-06-20T17:00:00+00:00,UTC,NRG Stadium,Houston,Not Started,NS,1,World Cup,2026,Group Stage - 2,1118,Netherlands,5,Sweden,,,,,,,,
1489393,2026-06-20T20:00:00+00:00,UTC,BMO Field,Toronto,Not Started,NS,1,World Cup,2026,Group Stage - 2,25,Germany,1501,Ivory Coast,,,,,,,,
1489392,2026-06-21T00:00:00+00:00,UTC,Arrowhead Stadium,Kansas City,Not Started,NS,1,World Cup,2026,Group Stage - 2,2382,Ecuador,5530,Curaçao,,,,,,,,
1489394,2026-06-21T04:00:00+00:00,UTC,Estadio BBVA,Monterrey,Not Started,NS,1,World Cup,2026,Group Stage - 2,28,Tunisia,12,Japan,,,,,,,,
1489397,2026-06-21T16:00:00+00:00,UTC,Mercedes-Benz Stadium,Atlanta,Not Started,NS,1,World Cup,2026,Group Stage - 2,9,Spain,23,Saudi Arabia,,,,,,,,
1489395,2026-06-21T19:00:00+00:00,UTC,SoFi Stadium,Los Angeles,Not Started,NS,1,World Cup,2026,Group Stage - 2,1,Belgium,22,Iran,,,,,,,,
1489398,2026-06-21T22:00:00+00:00,UTC,Hard Rock Stadium,Miami,Not Started,NS,1,World Cup,2026,Group Stage - 2,7,Uruguay,1533,Cape Verde Islands,,,,,,,,
1489396,2026-06-22T01:00:00+00:00,UTC,BC Place,Vancouver,Not Started,NS,1,World Cup,2026,Group Stage - 2,4673,New Zealand,32,Egypt,,,,,,,,
1489399,2026-06-22T17:00:00+00:00,UTC,AT&T Stadium,Dallas,Not Started,NS,1,World Cup,2026,Group Stage - 2,26,Argentina,775,Austria,,,,,,,,
1539017,2026-06-22T21:00:00+00:00,UTC,Lincoln Financial Field,Philadelphia,Not Started,NS,1,World Cup,2026,Group Stage - 2,2,France,1567,Iraq,,,,,,,,
1489401,2026-06-23T00:00:00+00:00,UTC,MetLife Stadium,New York New Jersey,Not Started,NS,1,World Cup,2026,Group Stage - 2,1090,Norway,13,Senegal,,,,,,,,
1489400,2026-06-23T03:00:00+00:00,UTC,Levi's Stadium,San Francisco Bay Area,Not Started,NS,1,World Cup,2026,Group Stage - 2,1548,Jordan,1532,Algeria,,,,,,,,
1489404,2026-06-23T17:00:00+00:00,UTC,NRG Stadium,Houston,Not Started,NS,1,World Cup,2026,Group Stage - 2,27,Portugal,1568,Uzbekistan,,,,,,,,
1489402,2026-06-23T20:00:00+00:00,UTC,Gillette Stadium,Boston,Not Started,NS,1,World Cup,2026,Group Stage - 2,10,England,1504,Ghana,,,,,,,,
1489403,2026-06-23T23:00:00+00:00,UTC,BMO Field,Toronto,Not Started,NS,1,World Cup,2026,Group Stage - 2,11,Panama,3,Croatia,,,,,,,,
1539008,2026-06-24T02:00:00+00:00,UTC,Estadio Akron,Guadalajara,Not Started,NS,1,World Cup,2026,Group Stage - 2,8,Colombia,1508,Congo DR,,,,,,,,
1489408,2026-06-24T19:00:00+00:00,UTC,BC Place,Vancouver,Not Started,NS,1,World Cup,2026,Group Stage - 3,15,Switzerland,5529,Canada,,,,,,,,
1539009,2026-06-24T19:00:00+00:00,UTC,Lumen Field,Seattle,Not Started,NS,1,World Cup,2026,Group Stage - 3,1113,Bosnia & Herzegovina,1569,Qatar,,,,,,,,
1489405,2026-06-24T22:00:00+00:00,UTC,Mercedes-Benz Stadium,Atlanta,Not Started,NS,1,World Cup,2026,Group Stage - 3,31,Morocco,2386,Haiti,,,,,,,,
1489406,2026-06-24T22:00:00+00:00,UTC,Hard Rock Stadium,Miami,Not Started,NS,1,World Cup,2026,Group Stage - 3,1108,Scotland,6,Brazil,,,,,,,,
1539010,2026-06-25T01:00:00+00:00,UTC,Estadio Azteca,Mexico City,Not Started,NS,1,World Cup,2026,Group Stage - 3,770,Czech Republic,16,Mexico,,,,,,,,
1489407,2026-06-25T01:00:00+00:00,UTC,Estadio BBVA,Monterrey,Not Started,NS,1,World Cup,2026,Group Stage - 3,1531,South Africa,17,South Korea,,,,,,,,
1489410,2026-06-25T20:00:00+00:00,UTC,MetLife Stadium,New York New Jersey,Not Started,NS,1,World Cup,2026,Group Stage - 3,2382,Ecuador,25,Germany,,,,,,,,
1489409,2026-06-25T20:00:00+00:00,UTC,Lincoln Financial Field,Philadelphia,Not Started,NS,1,World Cup,2026,Group Stage - 3,5530,Curaçao,1501,Ivory Coast,,,,,,,,
1539011,2026-06-25T23:00:00+00:00,UTC,AT&T Stadium,Dallas,Not Started,NS,1,World Cup,2026,Group Stage - 3,12,Japan,5,Sweden,,,,,,,,
1489412,2026-06-25T23:00:00+00:00,UTC,Arrowhead Stadium,Kansas City,Not Started,NS,1,World Cup,2026,Group Stage - 3,28,Tunisia,1118,Netherlands,,,,,,,,
1539012,2026-06-26T02:00:00+00:00,UTC,SoFi Stadium,Los Angeles,Not Started,NS,1,World Cup,2026,Group Stage - 3,777,Türkiye,2384,USA,,,,,,,,
1489411,2026-06-26T02:00:00+00:00,UTC,Levi's Stadium,San Francisco Bay Area,Not Started,NS,1,World Cup,2026,Group Stage - 3,2380,Paraguay,20,Australia,,,,,,,,
1539074,2026-06-26T19:00:00+00:00,UTC,BMO Field,Toronto,Not Started,NS,1,World Cup,2026,Group Stage - 3,13,Senegal,1567,Iraq,,,,,,,,
1489416,2026-06-26T19:00:00+00:00,UTC,Gillette Stadium,Boston,Not Started,NS,1,World Cup,2026,Group Stage - 3,1090,Norway,2,France,,,,,,,,
1489417,2026-06-27T00:00:00+00:00,UTC,Estadio Akron,Guadalajara,Not Started,NS,1,World Cup,2026,Group Stage - 3,7,Uruguay,9,Spain,,,,,,,,
1489413,2026-06-27T00:00:00+00:00,UTC,NRG Stadium,Houston,Not Started,NS,1,World Cup,2026,Group Stage - 3,1533,Cape Verde Islands,23,Saudi Arabia,,,,,,,,
1489414,2026-06-27T03:00:00+00:00,UTC,Lumen Field,Seattle,Not Started,NS,1,World Cup,2026,Group Stage - 3,32,Egypt,22,Iran,,,,,,,,
1489415,2026-06-27T03:00:00+00:00,UTC,BC Place,Vancouver,Not Started,NS,1,World Cup,2026,Group Stage - 3,4673,New Zealand,1,Belgium,,,,,,,,
1489420,2026-06-27T21:00:00+00:00,UTC,Lincoln Financial Field,Philadelphia,Not Started,NS,1,World Cup,2026,Group Stage - 3,3,Croatia,1504,Ghana,,,,,,,,
1489422,2026-06-27T21:00:00+00:00,UTC,MetLife Stadium,New York New Jersey,Not Started,NS,1,World Cup,2026,Group Stage - 3,11,Panama,10,England,,,,,,,,
1489419,2026-06-27T23:30:00+00:00,UTC,Hard Rock Stadium,Miami,Not Started,NS,1,World Cup,2026,Group Stage - 3,8,Colombia,27,Portugal,,,,,,,,
1539013,2026-06-27T23:30:00+00:00,UTC,Mercedes-Benz Stadium,Atlanta,Not Started,NS,1,World Cup,2026,Group Stage - 3,1508,Congo DR,1568,Uzbekistan,,,,,,,,
1489418,2026-06-28T02:00:00+00:00,UTC,Arrowhead Stadium,Kansas City,Not Started,NS,1,World Cup,2026,Group Stage - 3,1532,Algeria,775,Austria,,,,,,,,
1489421,2026-06-28T02:00:00+00:00,UTC,AT&T Stadium,Dallas,Not Started,NS,1,World Cup,2026,Group Stage - 3,1548,Jordan,26,Argentina,,,,,,,,
